id_transaccion,id_cliente,monto,fecha,region,id_tienda,edad,preferencias,geolocalizacion,ingresos,puntos_lealtad,gastos_mensuales,segmento_cliente,PC1,PC2,PC3
10000,1870,4074.0,2053-05-18,MX,31,45,Tecnología,CDMX,0.03758753751607832,0.8716148445336008,0.7679163214581607,Premium Adulto,1538.718119987584,-3.683203747063459,5.504589378095055
9999,1311,1726.0,2053-05-17,MX,16,40,Hogar,Monterrey,0.3342575389452622,0.8726178535606821,0.4510149130074565,Cliente Leal,-809.2790776046245,1.2761943145382553,-9.942134474855266
9998,1547,1598.0,2053-05-16,MX,33,60,Moda,Guadalajara,0.9539659854223238,0.4353059177532598,0.631006628003314,Regular,-937.2759792205575,9.213574038288844,15.092797634013813
9997,117,1783.0,2053-05-15,MX,17,68,Tecnología,CDMX,0.1298556524224668,0.043129388164493486,0.3216652858326429,Regular,-752.2678138120455,24.412317666429335,5.821003182648759
9996,1172,3183.0,2053-05-14,MX,40,69,Tecnología,CDMX,0.948849506931542,0.6168505516549649,0.912317039491853,Premium Adulto,647.725401774047,12.29093965496951,25.8701708621982
9995,342,706.0,2053-05-13,MX,35,37,Hogar,CDMX,0.38889524081749316,0.8916750250752257,0.3332642916321458,Cliente Leal,-1829.2859682693675,-10.860945046803998,4.502148574264744
9994,1142,3549.0,2053-05-12,MX,19,30,Hogar,CDMX,0.5227383164213234,0.7903711133400201,0.29967550400441867,Premium Adulto,1013.7156319767018,-9.718606786482148,-12.661383026198763
9993,234,4529.0,2053-05-11,MX,5,33,Hogar,Monterrey,0.7582249535515221,0.6850551654964895,0.16100524716929027,Premium Adulto,1993.7209994734408,-0.2245684595962949,-22.875821218136096
9992,1885,1870.0,2053-05-10,MX,24,21,Moda,Monterrey,0.5617264541946548,1.0,0.9950289975144987,Cliente Leal,-665.2893849705943,-19.138895846527486,-13.286690750739648
9991,46,3463.0,2053-05-09,MX,1,69,Moda,Monterrey,0.989524081749321,0.2527582748244734,0.6554128693731014,Premium Adulto,927.7372350411138,32.920413383766416,-7.126471255394669
